id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,bmi,children,smoker,region,expenses
1,Male,44,1,28,0,> 2 Years,Yes,40454,26,217,1,27.9,0,yes,southwest,16884.92
2,Male,76,1,3,0,1-2 Year,No,33536,26,183,0,33.8,1,no,southeast,1725.55
3,Male,47,1,28,0,> 2 Years,Yes,38294,26,27,1,33,3,no,southeast,4449.46
4,Male,21,1,11,1,< 1 Year,No,28619,152,203,0,22.7,0,no,northwest,21984.47
5,Female,29,1,41,1,< 1 Year,No,27496,152,39,0,28.9,0,no,northwest,3866.86
6,Female,24,1,33,0,< 1 Year,Yes,2630,160,176,0,25.7,0,no,southeast,3756.62
7,Male,23,1,11,0,< 1 Year,Yes,23367,152,249,0,33.4,1,no,southeast,8240.59
8,Female,56,1,28,0,1-2 Year,Yes,32031,26,72,1,27.7,3,no,northwest,7281.51
9,Female,24,1,3,1,< 1 Year,No,27619,152,28,0,29.8,2,no,northeast,6406.41
10,Female,32,1,6,1,< 1 Year,No,28771,152,80,0,25.8,0,no,northwest,28923.14
11,Female,47,1,35,0,1-2 Year,Yes,47576,124,46,1,26.2,0,no,northeast,2721.32
12,Female,24,1,50,1,< 1 Year,No,48699,152,289,0,26.3,0,yes,southeast,27808.73
13,Female,41,1,15,1,1-2 Year,No,31409,14,221,0,34.4,0,no,southwest,1826.84
14,Male,76,1,28,0,1-2 Year,Yes,36770,13,15,0,39.8,0,no,southeast,11090.72
15,Male,71,1,28,1,1-2 Year,No,46818,30,58,0,42.1,0,yes,southeast,39611.76
16,Male,37,1,6,0,1-2 Year,Yes,2630,156,147,1,24.6,1,no,southwest,1837.24
17,Female,25,1,45,0,< 1 Year,Yes,26218,160,256,0,30.8,1,no,northeast,10797.34
18,Female,25,1,35,1,< 1 Year,No,46622,152,299,0,23.8,0,no,northeast,2395.17
19,Male,42,1,28,0,1-2 Year,Yes,33667,124,158,0,40.3,0,no,southwest,10602.39
20,Female,60,1,33,0,1-2 Year,Yes,32363,124,102,1,35.3,0,yes,southwest,36837.47
21,Male,65,1,28,0,1-2 Year,Yes,41184,124,116,0,36,0,no,northeast,13228.85
22,Male,49,1,28,0,1-2 Year,Yes,50791,124,177,0,32.4,1,no,southwest,4149.74
23,Male,23,1,50,1,< 1 Year,No,45283,152,232,0,34.1,0,no,southeast,1137.01
24,Male,44,1,28,0,1-2 Year,Yes,41852,163,60,0,31.9,1,yes,northeast,37701.88
25,Male,34,1,15,1,1-2 Year,No,38111,152,180,0,28,2,no,northwest,6203.9
26,Female,21,1,28,1,< 1 Year,No,61964,152,72,0,27.7,3,no,southeast,14001.13
27,Female,51,1,28,0,1-2 Year,Yes,38341,124,49,1,23.1,0,no,northeast,14451.84
28,Male,26,1,6,1,< 1 Year,No,19135,152,57,0,32.8,2,no,northwest,12268.63
29,Female,25,1,8,1,< 1 Year,No,27946,152,223,0,17.4,1,no,northwest,2775.19
30,Male,57,1,11,0,1-2 Year,Yes,25679,157,232,1,36.3,2,yes,southwest,38711
31,Female,26,1,8,0,< 1 Year,No,2630,160,136,0,35.6,0,yes,southwest,35585.58
32,Male,79,1,28,0,1-2 Year,Yes,57444,26,222,0,26.3,0,no,northeast,2198.19
33,Female,48,1,28,0,1-2 Year,Yes,36951,122,149,0,28.6,5,no,southwest,4687.8
34,Female,24,1,36,0,< 1 Year,Yes,43129,152,49,0,28.3,0,no,northwest,13770.1
35,Female,32,1,30,1,< 1 Year,No,27638,152,169,0,36.4,1,yes,southwest,51194.56
36,Male,41,1,36,1,1-2 Year,No,30039,124,88,0,20.4,0,no,northwest,1625.43
37,Male,71,1,8,1,1-2 Year,No,40903,19,253,0,33,3,no,northwest,15612.19
38,Female,25,1,28,1,< 1 Year,No,76251,152,107,0,20.8,0,no,southwest,2302.3
39,Male,45,1,8,0,1-2 Year,Yes,42297,124,264,0,36.7,1,yes,northeast,39774.28
40,Male,72,1,41,1,1-2 Year,No,32210,152,233,0,39.9,0,yes,southwest,48173.36
41,Male,30,1,30,0,< 1 Year,Yes,24550,124,45,0,26.6,0,no,northeast,3046.06
42,Female,54,1,28,0,1-2 Year,No,38560,122,184,0,36.6,2,no,southeast,4949.76
43,Male,27,1,41,0,< 1 Year,No,21078,152,251,0,21.8,1,no,southeast,6272.48
44,Female,38,1,35,1,1-2 Year,No,2630,152,153,0,30.8,2,no,southeast,6313.76
45,Female,26,1,30,1,< 1 Year,No,31136,152,186,0,37.1,1,no,northeast,6079.67
46,Male,56,1,28,0,1-2 Year,Yes,34617,124,71,0,37.3,0,no,southwest,20630.28
47,Female,29,1,15,1,< 1 Year,No,32923,152,34,0,38.7,2,no,northeast,3393.36
48,Male,51,1,26,1,1-2 Year,No,33761,22,83,0,34.8,0,no,northwest,3556.92
49,Female,25,1,15,0,< 1 Year,No,38667,152,12,0,24.5,0,no,southeast,12629.9
50,Male,48,1,3,0,1-2 Year,No,38233,124,246,0,35.2,1,yes,southeast,38709.18
51,Female,22,1,50,0,< 1 Year,No,15052,152,141,0,35.6,0,no,northeast,2211.13
52,Male,22,1,16,0,< 1 Year,Yes,30673,152,216,0,33.6,2,no,northwest,3579.83
53,Female,49,1,3,1,1-2 Year,No,25553,152,130,0,28,1,yes,southwest,23568.27
54,Male,78,1,41,1,1-2 Year,No,49491,26,282,0,34.4,0,yes,southeast,37742.58
55,Female,44,1,28,0,1-2 Year,Yes,45415,13,73,0,28.7,3,no,northwest,8059.68
56,Female,20,1,47,0,< 1 Year,Yes,25380,160,171,0,37,2,yes,northwest,47496.49
57,Male,39,1,28,0,1-2 Year,Yes,57582,26,141,0,31.8,2,no,northeast,13607.37
58,Male,54,1,28,0,1-2 Year,Yes,25205,26,283,1,31.7,2,yes,southeast,34303.17
59,Female,62,1,48,0,1-2 Year,Yes,2630,15,295,0,22.9,1,yes,southeast,23244.79
60,Male,29,1,3,1,< 1 Year,No,35463,152,165,0,37.3,2,no,northwest,5989.52
61,Male,49,1,8,0,1-2 Year,Yes,2630,156,30,0,27.4,3,no,northeast,8606.22
62,Female,20,1,50,0,< 1 Year,Yes,36615,160,218,0,33.7,4,no,southeast,4504.66
63,Female,62,1,28,0,> 2 Years,Yes,33830,26,130,0,24.7,1,no,northwest,30166.62
64,Male,58,1,19,1,1-2 Year,No,39661,26,141,0,25.9,1,no,northwest,4133.64
65,Male,39,1,15,0,1-2 Year,Yes,37849,124,22,0,22.4,0,yes,northwest,14711.74
66,Female,59,1,30,0,1-2 Year,Yes,34426,26,147,0,28.9,0,no,southwest,1743.21
67,Male,41,1,28,0,1-2 Year,Yes,42268,154,36,0,39.1,2,no,southwest,14235.07
68,Male,60,1,28,0,1-2 Year,Yes,66338,124,73,0,26.3,1,no,northwest,6389.38
69,Male,63,1,28,1,1-2 Year,No,61739,124,79,0,36.2,0,no,southeast,5920.1
70,Female,50,1,41,0,1-2 Year,Yes,2630,26,81,1,24,3,yes,southeast,17663.14
71,Male,44,1,47,0,1-2 Year,Yes,46481,16,100,0,24.8,0,yes,southeast,16577.78
72,Female,27,1,11,0,< 1 Year,Yes,34587,26,63,0,28.5,5,no,northeast,6799.46
73,Female,23,1,39,1,< 1 Year,No,40372,152,242,0,28.1,3,no,southwest,11741.73
